Id;Designator;Footprint;Quantity;Designation;Price (total) (EUR);Link;Part number
23;R26, R27;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;2;22 Ohm;0,08;https://www.mouser.ee/en/ProductDetail/Bourns/CR0402-FX-22R0GLF?qs=sGAEpiMZZMtlubZbdhIBICGkyIRIR3aIhc6DCiHsyXg%3D;CR0402-FX-22R0GLF 
24;SW1, SW2, SW3;SW_SPST_B3U-1000P;3;;2,81;https://www.mouser.ee/en/ProductDetail/Omron-Electronics/B3U-1000P?qs=AO7BQMcsEu4ip80xyf2FwA%3D%3D;B3U-1000P 
25;;;;;;;
26;;;;;;;
27;TP1;TestPoint_Pad_D1.0mm;1;3.3V;;;
28;TP2;TestPoint_Pad_D1.0mm;1;5V;;;
29;U1, U2, U3, U5;SOT-23-8;4;INA219AxDCN;7,28;https://www.mouser.ee/ProductDetail/Texas-Instruments/INA219AIDCNR?qs=NNt36bEIu0tiHc879dL2eg%3D%3D;INA219AIDCNR 
30;U4;SOT-23-6;1;TPS62A02APDDC;0,21;https://www.mouser.ee/ProductDetail/Texas-Instruments/TPS62A02APDDCR?qs=ZcfC38r4PotJY8Nb5BNo3Q%3D%3D;TPS62A02APDDCR 
31;U7;ESP32-C3-WROOM-02U;1;ESP32-C3-WROOM-02;3,19;https://www.mouser.ee/en/ProductDetail/Espressif-Systems/ESP32-C3-WROOM-02U-N4?qs=sGAEpiMZZMu3sxpa5v1qrleB2ZU0msEUJkqI7HacMdk%3D;ESP32-C3-WROOM-02U-N4 
;;;;Total (EUR);18,75;;
;;;;Total (USD);21,75;;
